regiao;idade;area;sexo;cor.ou.raca;escolaridade;escolaridadepai;escolaridademae;rendachefedefamiliaultimomes;renda.total.de.todos.os.moradores;numero.de.moradores.no.domicilio;no.ultimo.mes.alguma.pessoa.deste.domicilio.recebeu.rendimentos.do.bolsa.familia;religiao;mulheres.que.usam.roupas.que.mostram.o.corpo.merecem.ser.atacadas;as.mulatas.sao.mais.fogosas.do.que.as.mulheres.brancas;da.pra.entender.que.um.homem.que.cresceu.em.uma.familia.violenta.agrida.sua.mulher;os.homens.devem.ser.a.cabeca.do.lar;casos.de.violencia.dentro.de.casa.devem.ser.discutidos.somente.entre.os.membros.;incomoda.ver.dois.homens,.ou.duas.mulheres,.se.beijando.na.boca.em.publico;se.as.mulheres.soubessem.como.se.comportar,.haveria.menos.estupros;homem.que.bate.na.esposa.tem.que.ir.para.a.cadeia;e.violencia.falar.mentiras.sobre.uma.mulher.para.os.outros;toda.mulher.sonha.em.se.casar;o.que.acontece.com.o.casal.em.casa.nao.interessa.aos.outros;quando.ha.violencia,.os.casais.devem.se.separar;casais.de.pessoas.do.mesmo.sexo.devem.ter.os.mesmos.direitos.dos.outros.casais;da.pra.entender.que.um.homem.rasgue.ou.quebre.as.coisas.da.mulher.se.ficou.nervoso;um.homem.pode.xingar.e.gritar.com.sua.propria.mulher;e.da.natureza.do.homem.ser.violento;em.briga.de.marido.e.mulher,.nao.se.mete.a.colher;a.roupa.suja.deve.ser.lavada.em.casa;uma.mulher.so.se.sente.realizada.quando.tem.filhos;a.mulher.casada.deve.satisfazer.o.marido.na.cama,.mesmo.quando.nao.tem.vontade;piada.de.preto.e.so.brincadeira,.nao.e.racismo;um.casal.de.dois.homens.vive.um.amor.tao.bonito.quanto.entre.um.homem.e.uma.mulher;mulher.que.e.agredida.e.continua.com.o.parceiro.gosta.de.apanhar;casamento.de.homem.com.homem.ou.de.mulher.com.mulher.deve.ser.proibido;a.mulher.que.apanha.em.casa.deve.ficar.quieta.para.nao.prejudicar.os.filhos;a.questao.da.violencia.contra.as.mulheres.recebe.mais.importancia.do.que.merece;tem.mulher.que.e.pra.casar,.tem.mulher.que.e.pra.cama
NORTE;62;urbano;masculino;parda;segunda serie fundamental;analfabeto ou sem instrucao;terceira serie fundamental;678;678;2;2;catolica;discorda total;neutro;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial
NORTE;28;urbano;feminino;parda;fundamental completa;terceira serie fundamental;sexta serie fundamental;678;950;3;1;catolica;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda parcial;concorda parcial;concorda total;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total
NORDESTE;46;metropolitano;feminino;parda;superior completo;quarta serie fundamental completa;sexta serie fundamental;1800;19000;;2;NR;concorda total;concorda total;discorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;discorda parcial;discorda total;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;neutro;neutro
NORDESTE;52;metropolitano;masculino;parda;primeira serie medio;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;1000;3;2;catolica;discorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;neutro;concorda total;concorda parcial;discorda parcial;concorda total;discorda parcial;concorda parcial;discorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda total;discorda total;discorda parcial;concorda total;concorda parcial
NORDESTE;65;metropolitano;masculino;parda;oitava serie fundamental incompleta;analfabeto ou sem instrucao;primeira serie fundamental;678;678;1;2;catolica;concorda total;concorda parcial;discorda total;concorda total;concorda parcial;discorda parcial;concorda total;neutro;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;concorda parcial;discorda total;concorda total;concorda total;concorda total;discorda total;neutro;discorda total;concorda total;concorda total;discorda total;neutro;concorda total
NORDESTE;46;urbano;masculino;branca;medio completo;nao sabe;nao sabe;2000;2000;4;2;evangelica;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total;discorda total;concorda total;discorda parcial;discorda total;discorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;discorda parcial;concorda parcial;discorda total;discorda total;discorda parcial;concorda total;discorda total;discorda total;concorda parcial
NORDESTE;55;urbano;feminino;parda;medio completo;nao sabe;nao sabe;678;678;2;2;evangelica;discorda total;ns;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total;ns
NORDESTE;60;metropolitano;masculino;branca;segunda serie fundamental;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;1500;3;2;catolica;discorda total;concorda parcial;concorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda parcial;concorda parcial;concorda total;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;discorda parcial;concorda total
NORDESTE;31;urbano;feminino;parda;sexta serie fundamental;nao sabe;nao sabe;678;678;4;1;catolica;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total
NORDESTE;26;urbano;feminino;parda;medio completo;medio completo;quinta serie fundamental;678;;3;2;evangelica;discorda total;discorda total;discorda total;concorda total;ns;concorda total;concorda total;concorda total;concorda total;concorda total;neutro;concorda total;discorda total;concorda total;discorda total;concorda total;neutro;concorda total;concorda total;discorda total;discorda total;discorda total;discorda parcial;concorda total;discorda total;discorda total;discorda total
